!SIL	sil
<UNK>	sil
ការផ្លាស់ប្ដូរ	k aː pʰ l a h pʰ d oʊ
ការពិតប្រាកដ	k aː p i t p r aː k ɑ t
ការពិនិត្យពិច័យ	k aː p i n i t p i c ai
ការពិនិត្យមើល	k aː p i n i tʰ m ɘː l
ការពិនិត្យ	k aː p i n i t
ការព្យាបាទ	k aː pʰ j iɜ b aː t
ការព្យាបាល	k aː pʰ j iɜ b aː l
ការព្រមគ្នា	k aː p r ɔː m kʰ n iɜ
ការព្រាត់ប្រាស់	k aː p r oă t p r a h
ការមានប្រៀប	k aː m iɜ n p r iɜ p
ការមិនចេះអក្សរ	k aː m i n c ɛe h ʔ a ʔ s ɑː
ការរក្សាទុក	k aː r ɛă ʔ s aː t ʋ k
ការរក្សា	k aː r ɛă ʔ s aː
ការរួមគ្នា	k aː r uɜ m kʰ n iɜ
ការវាយប្លន់	k aː β̞ iɜ j pʰ l ɑ n
ការសំរេចសេចក្ដី	k aː s ɑ m r a c s a c kʰ d ɜi
កាំប្រមា	k a m p r ɑː m aː
កាំភ្លើងត្បាល់	k a m pʰ l ɘː ŋ tʰ b a l
កិច្ចប្រចាំថ្ងៃ	k e c p r ɑː c a m tʰ ŋ ai
កិច្ចប្រជុំ	k e c p r ɑː c ʋ m
កិច្ចប្រយុទ្ធ	k e c p r ɑː j ʋ t
កិច្ចប្រឹងប្រែង	k e c p r ɜ ŋ p r aɛ ŋ
កិច្ចពិភាក្សា	k e c p i pʰ iɜ ʔ s aː
កិច្ចសហប្រតិបត្តិការណ៍	k e c s a ʔ h a ʔ p r ɑː t e b a t k aː
កិច្ចសហប្រតិបត្តិការ	k e c s a ʔ h a ʔ p r ɑː t e b a t k aː
កិត្យានុភាព	k e t tʰ j aː n ʋ pʰ iɜ p
កុំព្យូទ័រ	k o m pʰ j uː t oa
កូនក្មួយ	k oʊ n kʰ m uɜ j
កូនក្មេង	k oʊ n kʰ m ɛe ɲ
កូនគ្លី	k oʊ n kʰ l iː
កូនប្រយោល	k oʊ n p r ɑː j aɔ l
កូនប្រសា	k oʊ n p r ɑː s aː
កូនប្រុស	k oʊ n p r o h
កើតក្ដី	k aɜ t kʰ d ɜi
កើលប្រើស	k aɜ l p r aɜ h
កែប្រែ	k aɛ p r aɛ
កំណាព្យ	k ɑ m n aː p
កំបុតត្បូង	k ɑ m b o t tʰ b oʊ ŋ
កំប្រុក	k ɑ m p r o k
កំប្រេវ	k ɑ m p r ɛe β̞
កំប្រោងជ័រ	k ɑ m p r aɔ ŋ c oa
កំប្រោងយួរ	k ɑ m p r aɔ ŋ j uɜ
កំប្រោង	k ɑ m p r aɔ ŋ
កំប្រោន	k ɑ m p r aɔ n
កំប្លង់	k ɑ m pʰ l ɑ ŋ
កំប្លឹម	k ɑ m pʰ l ɜ m
កំប្លុក	k ɑ m pʰ l o ʔ
កំប្លូច	k ɑ m pʰ l oʊ c
កំប្លេ	k ɑ m pʰ l ɛe
កំប្លែង	k ɑ m pʰ l aɛ ŋ
កំប្លោក	k ɑ m pʰ l aɔ k
ក៏ដូចគ្នា	k ɑː d oʊ c kʰ n iɜ
ក្ដក់	kʰ d ɑ ʔ
ក្ដន់	kʰ d ɑ n
ក្ដាក់	kʰ d a ʔ
ក្ដាត់	kʰ d a t
ក្ដាត	kʰ d aː t
ក្ដាន់	kʰ d a n
ក្ដាប់ដៃ	kʰ d a p d ai
ក្ដាប់	kʰ d a p
ក្ដាមទូក	kʰ d aː m t uː k
ក្ដាម	kʰ d aː m
ក្ដារខៀន	kʰ d aː kʰ iɜ n
ក្ដារឆ្នួន	kʰ d aː cʰ n uɜ n
ក្ដារ	kʰ d aː
ក្ដាំងងា	kʰ d a ŋ ŋ iɜ
ក្ដាំង	kʰ d a ŋ
ក្ដាំ	kʰ d a m
ក្ដា	kʰ d aː
ក្ដិច	kʰ d e c
ក្ដិត	kʰ d e t
ក្ដិប	kʰ d e p
ក្ដីក្ដាំ	kʰ d ɜi kʰ d a m
ក្ដីក្លាហាន	kʰ d ɜi kʰ l aː h aː n
ក្ដីណា	kʰ d ɜi n aː
ក្ដីតក់ស្លុត	kʰ d ɜi t ɑ ʔ s l o t
ក្ដីទុក្ខ	kʰ d ɜi t ʋ k
ក្ដីបារម្ភ	kʰ d ɜi b aː r ɑ m
ក្ដីមេត្តា	kʰ d ɜi m eː t t aː
ក្ដីលោភលន់	kʰ d ɜi l oː pʰ l ʋ n
ក្ដីសង្វេគ	kʰ d ɜi s ɑ ŋ β̞ aɛ k
ក្ដីសោកស្ដាយ	kʰ d ɜi s aɔ kʰ s d aː j
ក្ដីស្រឡាញ់	kʰ d ɜi s r ɑː l a ɲ
ក្ដីអន្តរាយ	kʰ d ɜi ʔ ɑ n t a ʔ r aː j
ក្ដីអាណិតអាសូរ	kʰ d ɜi ʔ aː n e t ʔ aː s oʊ
ក្ដីអាណិត	kʰ d ɜi ʔ aː n e t
ក្ដី	kʰ d ɜi
ក្ដឹប	kʰ d ɜ p
ក្ដឹះ	kʰ d ɜ h
ក្ដុក	kʰ d o k
ក្ដុងក្ដាំង	kʰ d o ŋ kʰ d a ŋ
ក្ដុង	kʰ d o ŋ
ក្ដុល	kʰ d o l
ក្ដូនចេស	kʰ d oʊ n c ɛe h
ក្ដូន	kʰ d oʊ n
ក្ដួច	kʰ d uɜ c
ក្ដួល	kʰ d uɜ l
ក្ដឿង	kʰ d ɨɜ ŋ
ក្ដៀន	kʰ d iɜ n
ក្ដៀប	kʰ d iɜ p
ក្ដែង	kʰ d aɛ ŋ
ក្ដោង	kʰ d aɔ ŋ
ក្ដោប	kʰ d aɔ p
ក្ដៅ	kʰ d aɨ
ក្ដ	kʰ d ɑː
ក្តាខៀន	kʰ t aː kʰ iɜ n
ក្តាប់បាន	kʰ t a p b aː n
ក្តីរំភើបចិត្ត	kʰ t ɜi r ʋ m pʰ ɘː p c e t
ក្តីរំភើប	kʰ t ɜi r ʋ m pʰ ɘː p
ក្តីសង្ឃឹម	kʰ t ɜi s ɑ ŋ kʰ ɘ m
ក្តីសម្រេច	kʰ t ɜi s ɑ m r a c
ក្តីសុខ	kʰ t ɜi s o k
ក្តីសុបិន្ត	kʰ t ɜi s o b e n
ក្តីស្មោះស្ម័គ្រ	kʰ t ɜi s m ɑ h s m a ʔ
ក្តីស្រមើស្រមៃ	kʰ t ɜi s r ɑː m aɜ s r ɑː m ai
ក្តីស្រមៃ	kʰ t ɜi s r ɑː m ai
ក្តីអាណិតអាសូរ	kʰ t ɜi ʔ aː n e t ʔ aː s oʊ
ក្តី	kʰ t ɜi
ក្តៅក្រហាយ	kʰ d aɨ k r ɑː h aː j
ក្តៅចិត្ត	kʰ d aɨ c e t
ក្នក់	kʰ n ɑ ʔ
ក្នាញ់	kʰ n a ɲ
ក្នាត់	kʰ n a t
ក្និកក្នក់	kʰ n e k kʰ n ɑ ʔ
ក្និក	kʰ n e k
ក្និច	kʰ n e c
ក្នុងករណីនៃ	kʰ n o ŋ k a ʔ r ɔː n ɜi n ɘi
ក្នុងខណៈនោះ	kʰ n o ŋ kʰ a ʔ n a ʔ n ʋ h
ក្នុងខ្លួន	kʰ n o ŋ kʰ l uɜ n
ក្នុងចំនោម	kʰ n o ŋ c ɑ m n oː m
ក្នុងថ្ងៃនេះ	kʰ n o ŋ tʰ ŋ ai n i h
ក្នុងនាមជា	kʰ n o ŋ n iɜ m c iɜ
ក្នុងពេលនេះ	kʰ n o ŋ p eː l n i h
ក្នុងព្រៃ	kʰ n o ŋ p r ɘi
ក្នុងស្ថានភាព	kʰ n o ŋ s tʰ aː n a ʔ pʰ iɜ p
ក្នុងអំឡុងពេល	kʰ n o ŋ ʔ ɑ m l o ŋ p eː l
ក្នុង	kʰ n o ŋ
ក្មាង	kʰ m aː ŋ
ក្មួយ	kʰ m uɜ j
ក្មេក	kʰ m ɛe c
ក្មេង	kʰ m ɛe ɲ
ក្រិត្យក្រម	k r e t k r ɑ m
ក្រឹត្យក្រម	k r ɜ t k r ɑ m
ក្រឹត្យ	k r ɜ t
ក្រុមក្នុង	k r o m kʰ n o ŋ
ក្រុមគ្រូពេទ្យ	k r o m k r uː p ɛː t
ក្រុមប្រឹក្សាធម្មនុញ្ញ	k r o m p r ɜ k s aː tʰ oă m m n ʋ ɲ
ក្រុមប្រឹក្សាភិបាល	k r o m p r ɜ k s aː pʰ i b aː l
ក្រុមប្រឹក្សាអភិវឌ្ឍន៍	k r o m p r ɜ k s aː ʔ a ʔ pʰ i β̞ oă t
ក្រុមប្រឹក្សា	k r o m p r ɜ k s aː
ក្រុមពេទ្យចល័ត	k r o m p ɛː t c a ʔ l a t
ក្រុមរក្សាអង្គ	k r o m r ɛă ʔ s aː ʔ ɑ ŋ
ក្រៅក្នុង	k r aɨ kʰ n o ŋ
ក្លងខែក	kʰ l ɑː ŋ kʰ aɛ k
ក្លងឆ្នៈ	kʰ l ɑː ŋ cʰ n ɛă ʔ
ក្លងយ៉ូន	kʰ l ɑː ŋ j oʊ n
ក្លង	kʰ l ɑː ŋ
ក្លន	kʰ l ɑː n
ក្លម	kʰ l ɑː m
ក្លរទ្រីមេតុនទែលវិន	kʰ l ɑː t r iː m eː t o n t ɛː l β̞ i n
ក្លរីដ	kʰ l ɑː r iː t
ក្លរីតកម្ម	kʰ l ɑː r iː t a ʔ k a m
ក្លរីត	kʰ l ɑː r iː t
ក្លរី	kʰ l ɑː r iː
ក្លរ៉ាត	kʰ l ɑː r aː t
ក្លរ៉ូប្លាស	kʰ l ɑː r oʊ pʰ l aː h
ក្លរ៉ូភីល	kʰ l ɑː r oʊ pʰ iː l
ក្លស់	kʰ l ɑ h
ក្លាក់	kʰ l a ʔ
ក្លាក	kʰ l aː k
ក្លាដែស	kʰ l aː d aɛ h
ក្លាត់	kʰ l a t
ក្លាយជា	kʰ l aː j c iɜ
ក្លាយទៅជា	kʰ l aː j t ɘɨ c iɜ
ក្លាយទៅ	kʰ l aː j t ɘɨ
ក្លាយ	kʰ l aː j
ក្លាវ	kʰ l aː β̞
ក្លាសហ្គោល	kʰ l aː h h k oː l
ក្លាសេ	kʰ l aː s ɛe
ក្លាស៊ិក	kʰ l aː s i k
ក្លាស់	kʰ l a h
ក្លាស្សេ	kʰ l aː h s ɛe
ក្លាស	kʰ l aː h
ក្លាហាន	kʰ l aː h aː n
ក្លាហូម៉ា	kʰ l aː h oʊ m aː
ក្លាំងហាយ	kʰ l a ŋ h aː j
ក្លាំពាក់	kʰ l a m p ɛă ʔ
ក្លាំពូ	kʰ l a m p uː
ក្លាំ	kʰ l a m
ក្លា	kʰ l aː
ក្លិង្គ្រាស្ត្រ	kʰ l e ŋ k r iɜ h
ក្លិង្គ	kʰ l e ŋ
ក្លិត	kʰ l e t
ក្លិនអសោចិ៍	kʰ l e n ʔ s aɔ c
ក្លិន	kʰ l e n
ក្លិប	kʰ l e p
ក្លីប	kʰ l ɜi p
ក្លឹក	kʰ l ɜ k
ក្លឹង	kʰ l ɜ ŋ
ក្លឹបកម្សាន្ត	kʰ l ɜ pʰ k ɑ m s aː n
ក្លឹប	kʰ l ɜ p
ក្លឹស	kʰ l ɜ h
ក្លឺប	kʰ l ɜɘ p
ក្លុក	kʰ l o k
ក្លុំ	kʰ l o m
ក្លូប	kʰ l oʊ p
ក្លូសូផ្លេស៊ី	kʰ l oʊ s oʊ pʰ l ɛe s iː
ក្លូ	kʰ l oʊ
ក្លើក	kʰ l aɜ k
ក្លើ	kʰ l aɜ
ក្លឿ	kʰ l ɨɜ
ក្លៀក	kʰ l iɜ k
ក្លៀវក្លម	kʰ l iɜ β̞ kʰ l ɑː m
ក្លៀវក្លា	kʰ l iɜ β̞ kʰ l aː
ក្លៀវក្លំ	kʰ l iɜ β̞ kʰ l ɑ m
ក្លៀវ	kʰ l iɜ β̞
ក្លេត	kʰ l ɛe t
ក្លេអូប៉ាត្រា	kʰ l ɛe ʔ oʊ p aː t r aː
ក្លេ	kʰ l ɛe
ក្លែង	kʰ l aɛ ŋ
ក្លែន	kʰ l aɛ n
ក្លែប	kʰ l aɛ p
ក្លែម	kʰ l aɛ m
ក្លែ	kʰ l aɛ
ក្លោងទ្វារ	kʰ l aɔ ŋ tʰ β̞ iɜ
ក្លោងទ្វា	kʰ l aɔ ŋ tʰ β̞ iɜ
ក្លំ	kʰ l ɑ m
ក្វាង	kʰ β̞ aː ŋ
ក្វាត	kʰ β̞ aː t
ក្វាទ័រ	kʰ β̞ aː t oa
ក្វាន់	kʰ β̞ a n
ក្វា	kʰ β̞ aː
ក្វែន	kʰ β̞ aɛ n
ក្វ័ងទុង	kʰ β̞ a ŋ t ʋ ŋ
ក្វ័ង	kʰ β̞ a ŋ
ក្វ័រទ័រ	kʰ β̞ oa t oa
ក្សណៈ	kʰ s a ʔ n a ʔ
ក្សត្រាធិរាជ	kʰ s a t t r aː tʰ i r iɜ c
ក្សត្រានុភាព	kʰ s a t t r aː n ʋ pʰ iɜ p
ក្សត្រា	kʰ s a t t r aː
ក្សត្រិយានី	kʰ s a t t r ɜi j aː n iː
ក្សត្រិយ៍	kʰ s a t t r ɜi
ក្សត្រីយ៍	kʰ s a t t r ɜi
ក្សត្រី	kʰ s a t t r ɜi
ក្សត្រ	kʰ s a t
ក្សាន្ដ	kʰ s aː n
ក្សាន្ត	kʰ s aː n
ក្សិណក្ស័យ	kʰ s e n kʰ s ai
ក្សិណ	kʰ s e n
ក្សីណាស្រព	kʰ s ɜi n aː s r ɑ p
ក្សីណ	kʰ s e n
ក្សីរ	kʰ s ɛe
ក្សេត្រវិទូ	kʰ s ɛe tʰ β̞ i t uː
ក្សេត្រសាស្ត្រ	kʰ s ɛe t t r a ʔ s a h
ក្សេត្រាជីវកម្ម	kʰ s ɛe t r aː c iː β̞ ɛă ʔ k a m
ក្សេត្រារក្ស	kʰ s ɛe t r aː r a ʔ
ក្សេត្រា	kʰ s ɛe t r aː
ក្សេត្រ	kʰ s ɛe t
ក្សេមក្សាន្ត	kʰ s ɛe m kʰ s aː n
ក្សេម	kʰ s ɛe m
ក្ស័ត្រ	kʰ s a t
ក្ស័យធន	kʰ s ai tʰ ʋ n
ក្ស័យ	kʰ s ai
ខាងក្នុង	kʰ aː ŋ kʰ n o ŋ
ខាងត្បាល់	kʰ aː ŋ tʰ b a l
ខាងត្បូង	kʰ aː ŋ tʰ b oʊ ŋ
ខុសគ្នា	kʰ o h kʰ n iɜ
ខេមប្រ៊ីដ	kʰ ɛe m p r iː t
ខំសិក្សា	kʰ ɑ m s ɜ k s aː
ខ្ទះត្នោត	kʰ t ɛă h tʰ n aɔ t
ខ្លាប់ក្លាយ	kʰ l a p kʰ l aː j
ខ្លាំងក្លា	kʰ l a ŋ kʰ l aː
ខ្លោងទ្វារ	kʰ l aɔ ŋ tʰ β̞ iɜ
ខ្សែប្រយុទ្ធ	kʰ s aɛ p r ɑː j ʋ t
ខ្សែប្រែក	kʰ s aɛ p r aɛ k
គណបក្ស	k ɛă ʔ n a ʔ p a ʔ
គណិតវិទ្យា	k ɛă ʔ n i tʰ β̞ i tʰ j iɜ
គណៈប្រតិភូ	k ɛă ʔ n a ʔ p r ɑː t e pʰ uː
គណៈមេប្រយោគ	k ɛă ʔ n a ʔ m eː p r ɑː j oː k
គណៈលេខាមជ្ឈិមបក្ស	k ɛă ʔ n a ʔ l ɛe kʰ aː m a c cʰ i m p a ʔ
គាប់ប្រសើរ	k oă p p r ɑː s aɜ
គិតគ្នា	k i t kʰ n iɜ
គីមីវិទ្យា	k iː m iː β̞ i tʰ j iɜ
គូប្រជែង	k uː p r ɑː c ɛː ŋ
គួរប្រើ	k uɜ p r aɜ
គោះទ្វារ	k uɜ h tʰ β̞ iɜ
គោះពព្លាក់	k uɜ h p ɔː pʰ l ɛă ʔ
គ្នាន់	kʰ n oă n
គ្នា	kʰ n iɜ
គ្នីគ្នា	kʰ n iː kʰ n iɜ
គ្នី	kʰ n iː
គ្នេរគ្នាន់	kʰ n eː kʰ n oă n
គ្នេរ	kʰ n eː
គ្មានពេល	kʰ m iɜ n p eː l
គ្មាន	kʰ m iɜ n
គ្មិន	kʰ m i n
គ្រូពេទ្យ	k r uː p ɛː t
គ្រឿងក្លែម	k r ɨɜ ŋ kʰ l aɛ m
គ្រែប្រអប់	k r ɛː p r ɑː ʔ ɑ p
គ្លារីង	kʰ l aː r iː ŋ
គ្លីនតុន	kʰ l iː n t o n
គ្លីនិក	kʰ l iː n i c
គ្លីនីក	kʰ l iː n iː c
គ្លីសេរ៉ុល	kʰ l iː s ɛe r o l
គ្លីស៊ីន	kʰ l iː s iː n
គ្លី	kʰ l iː
គ្លុយកូស	kʰ l ʋ j k oʊ h
គ្លុយស៊ីត	kʰ l ʋ j s iː t
គ្លើ	kʰ l ɘː
គ្លេ	kʰ l eː
គ្វាម	kʰ β̞ iɜ m
គ្វេទ	kʰ β̞ eː t
ចក្ខុពេទ្យ	c a ʔ kʰ o p ɛː t
ចក្រភពអង់គ្លេស	c a ʔ k r ɑː pʰ ʋ p ʔ ɑ ŋ kʰ l eː h
ចក្សុ	c a ʔ kʰ s o
ចង្អួរត្មាត	c ɑ ŋ ʔ uɜ tʰ m aː t
ចតុទ្វីប	c a ʔ t o tʰ β̞ iː p
ចតុរស្សព្នាយស្មើ	c a ʔ t o r ɛă h s a ʔ pʰ n iɜ j s m aɜ
ចតុរស្សព្នាយស្រប	c a ʔ t o r ɑ h s a p pʰ n iɜ j s r ɑː p
ចត្វាស័ក	c a t tʰ β̞ aː s a ʔ
ចត្វា	c a t tʰ β̞ aː
ចត្វ័ង្ស	c a t tʰ β̞ a ŋ
ចន្ទាស់ទ្វារ	c a n t oă h tʰ β̞ iɜ
ចមក្សត្រ	c ɑː m kʰ s a t
ចម្មបក្សី	c a m m ɛă ʔ b a ʔ s ɜi
ចាព្លូ	c aː pʰ l uː
ចាំប្ដី	c a m p d ɜi
ចិត្តវិទ្យា	c e tʰ β̞ i tʰ j iɜ
ចុងក្ដី	c o ŋ kʰ d ɜi
ចុងក្ដឿង	c o ŋ kʰ d ɨɜ ŋ
ចុល្លព្រឹក្ស	c o l a ʔ p r ɘ k
ចុះប្រេង	c o h p r ɛe ŋ
ចូលក្នុង	c oʊ l kʰ n o ŋ
ចូលគ្នា	c oʊ l kʰ n iɜ
ចូលសិក្សា	c oʊ l s ɜ k s aː
ចេះលាំគ្នា	c ɛe h l oă m kʰ n iɜ
ចែប៉ប្រែ	c aɛ p ɑː p r aɛ
ចៃត្យ	c ai tʰ j a ʔ
ចំប្រប់	c ɑ m p r ɑ p
ចំប្រាវ	c ɑ m p r aː β̞
ច្រកទ្វារ	c r ɑː ʔ tʰ β̞ iɜ
ច្រកទ្វា	c r ɑː ʔ tʰ β̞ iɜ
ឆក់គ្នា	cʰ ɑ ʔ kʰ n iɜ
ឆក្សត្រ	cʰ ɑː kʰ s a t
ឆទ្វារ	cʰ a ʔ tʰ β̞ iɜ
ឆន្នអាមាត្យ	cʰ a n ʔ aː m aː t
ឆេប្លីស	cʰ ɛe pʰ l ɜi h
ឆ្លាស់គ្នា	cʰ l a h kʰ n iɜ
ជម្ពូទ្វីប	c ʋ m p uː tʰ β̞ iː p
ជម្ពូព្រឹក្ស	c ʋ m p uː p r ɘ k
ជម្រើសវិទ្យា	c ʋ m r ɘː h β̞ i tʰ j iɜ
ជយព្រឹក្ស	c ɘi p r ɘ k
ជាងប្រាំរយ	c iɜ ŋ p r a m r ɔː j
ជាត្យានុវាទ	c iɜ tʰ j aː n ʋ β̞ iɜ t
ជាន់កគ្នាស៊ី	c oă n k ɑː kʰ n iɜ s iː
ជាប់គ្នា	c oă p kʰ n iɜ
ជាប្រក្រតី	c iɜ p r ɑ ʔ k r ɑː d ɜi
ជាមន្ទីរពេទ្យ	c iɜ m ʋ n t iː p ɛː t
ជាមួយគ្នា	c iɜ m uɜ j kʰ n iɜ
ជិតគ្នា	c i t kʰ n iɜ
ជីវប្រវត្តិ	c iː β̞ ɛă ʔ p r ɑː β̞ oă t
ជីវវិទ្យា	c iː β̞ ɛă ʔ β̞ i tʰ j iɜ
ជីវិតក្ស័យ	c iː β̞ i t kʰ s ai
ជុំគ្នា	c ʋ m kʰ n iɜ
ជួបគ្នា	c uɜ p kʰ n iɜ
ជួបជុំគ្នា	c uɜ p c ʋ m kʰ n iɜ
ជួបប្រជុំគ្នា	c uɜ p p r ɑː c ʋ m kʰ n iɜ
ជួបប្រទះ	c uɜ p p r ɑː t ɛă h
ជួបប្រទៈ	c uɜ p p r ɑː t ɛă ʔ
ជួបប្រហែល	c uɜ p p r ɑː h aɛ l
ជួបពិភាក្សា	c uɜ p p i pʰ iɜ ʔ s aː
ជើងព្នាយ	c ɘː ŋ pʰ n iɜ j
ជេស័នក្សត្រ	c eː s a ʔ n a ʔ kʰ s a t
ជំនុំជំរះក្តី	c ʋ m n ʋ m c ʋ m r ɛă h kʰ t ɜi
ជំពាក់ប្រាក់គេ	c ʋ m p ɛă ʔ p r a ʔ k eː
ជំរះក្តី	c ʋ m r ɛă h kʰ t ɜi
ជ្រោងទង់បក្ស	c r oː ŋ t ʋ ŋ p a ʔ
ញាតិប្រេត	ɲ iɜ t e p r aɛ t
ដងក្ដារ	d ɑː ŋ kʰ d aː
ដប់ប្រាំមួយ	d ɑ p p r a m m uɜ j
ដាច់គ្នា	d a c kʰ n iɜ
ដាប់ប្លីន	d a p pʰ l iː n
ដីប្លី	d ɜi pʰ l ɜi
ដឹងក្ដី	d ɜ ŋ kʰ d ɜi
ដូក្លាស	d oʊ kʰ l aː h
ដូចគ្នា	d oʊ c kʰ n iɜ
ដូប្ល៊ីន	d oʊ pʰ l iː n
ដោះទុក្ខសត្វ	d ɑ h t ʋ kʰ s a t
ដំបងយក្ស	d ɑ m b ɑː ŋ j ɛă ʔ
ដ្បិតតែ	tʰ b e t t aɛ
ដ្បិត	tʰ b e t
ឋានន្តរសក្តិ	tʰ aː n ɑ n t a ʔ r a ʔ s a ʔ
ឋានបទ្ម	tʰ aː n a ʔ b ɑ t
ឌីប្លូម	d iː pʰ l oʊ m
ណាត់ជួបគ្នា	n a t c uɜ p kʰ n iɜ
តក់ប្រមា	t ɑ ʔ p r ɑː m aː
តង្កៀបក្ដាម	t ɑ ŋ k iɜ p kʰ d aː m
តចសារព្រឹក្ស	t a ʔ c a ʔ s aː r a ʔ p r ɘ k
តប់ប្រមល់	t ɑ p p r ɑː m ɑ l
តភ្ជាប់គ្នា	t ɑː pʰ c oă p kʰ n iɜ
តស៊ូប្រឆាំង	t ɑː s uː p r ɑː cʰ a ŋ
តាឃីប្រាស៊ី	t aː kʰ iː p r aː s iː
តាមពិនិត្យ	t aː m p i n i t
តារាយានវិទ្យា	d aː r aː j iɜ n β̞ i tʰ j iɜ
តាំងប្រាក់ខែឲ្យ	t a ŋ p r a ʔ kʰ aɛ ʔ aɔ j
តិណភ័ក្ស	t e n a ʔ pʰ ɛă ʔ
តិថីក្ស័យ	t e tʰ ɜi kʰ s ai
តេក្វាន់ដូ	t ɛe kʰ β̞ a n d oʊ
តែមប្រិ៍សារពើពន្ធ	t aɛ m s aː r a ʔ p ɘː p ʋ n
តែមប្រិ៍	t aɛ m
តោកអារក្ស	t aɔ k ʔ aː r a ʔ
តំហែរក្សា	d ɑ m h aɛ r ɛă ʔ s aː
ត្នោតលៃ	tʰ n aɔ tʰ l ɘi
ត្នោត	tʰ n aɔ t
ត្ន	tʰ n ɑː
ត្បក	tʰ b ɑː k
ត្បទ	tʰ b ɑ t
ត្បាញ	tʰ b aː ɲ
ត្បារ	tʰ b aː
ត្បាល់កិន	tʰ b a l k e n
ត្បាល់ដែក	tʰ b a l d aɛ k
ត្បាល់	tʰ b a l
ត្បា	tʰ b aː
ត្បិតអី	tʰ b e t ʔ ɜi
ត្បិត	tʰ b e t
ត្បុត	tʰ b o t
ត្បុរ	tʰ b o l
ត្បូងឃ្មុំ	tʰ b oʊ ŋ kʰ m ʋ m
ត្បូងដឹង	tʰ b oʊ ŋ d ɜ ŋ
ត្បូងថ្ម	tʰ b oʊ ŋ tʰ m ɑː
ត្បូងស្វាយ	tʰ b oʊ ŋ s β̞ aː j
ត្បូង	tʰ b oʊ ŋ
ត្បៀត	tʰ b iɜ t
ត្បេះ	tʰ b ɛe h
ត្បែង	tʰ b aɛ ŋ
ត្មាត	tʰ m aː t
ត្មាស់	tʰ m a h
ត្មា	tʰ m aː
ត្មិល	tʰ m e l
ត្មោង	tʰ m aɔ ŋ
ត្មោល	tʰ m aɔ l
ត្មះតិដៀល	tʰ m a h t e d iɜ l
ត្មះតិះដៀល	tʰ m a h t e h d iɜ l
ត្មះ	tʰ m a h
ត្យាធិប្បាយ	tʰ j aː tʰ i b aː j
ត្យានុវាទ	tʰ j aː n ʋ β̞ iɜ t
ត្យា	tʰ j aː
ត្យូក្យូ	tʰ j oʊ kʰ j oʊ
ត្រដោកក្ដារ	t r ɑː d aɔ k kʰ d aː
ត្រាប្រណី	t r aː p r ɑː n ɜi
ត្រូវមាត់គ្នា	t r oʊ β̞ m oă t kʰ n iɜ
ត្រួតពិនិត្យ	t r uɜ t p i n i t
